Source,Target,Weight,nt_type_banc,across_hemi_layer_pre,across_hemi_layer_post
WV-WV-1,WED_pr02,5,GABA,,3.382386364
WV-WV-1,vpoEN,5,GABA,2.711538462,
WV-WV-1,vpoEN,5,GABA,,
WV-WV-2,AVLP_pr23,5,GABA,,3.192307692
WV-WV-2,AVLP_pr23,5,GABA,,
WV-WV-3,B1-4,5,GABA,2.675824176,
WV-WV-3,B1-6,5,GABA,,
WV-WV-3,WED_pr02,5,GABA,,
aPN2,B1-7,5,Ach,,
aPN2,aPN3,5,Ach,4.389880952,
pC1d,pMN2,5,Ach,5.790064103,5.352564103
pC1e,pC1d,5,Ach,,5.790064103
pC1e,pC1e,5,Ach,6.227564103,
pC1e,pC2la,5,Ach,6.227564103,
pC2la,AVLP_pr36/asp10a-1,5,Ach,,
pC2la,pC1e,5,Ach,5.722467058,6.227564103
WED-VLP-2,WV-WV-4,5,Ach,,3.227564103
WED-VLP-2,WED-VLP-2,5,Ach,,3.481730769
B1-5,WV-WV-2,5,Ach,,3.419337607
WED-VLP-1,AVLP_pr22,5,Ach,,
B1-6,B1-6,5,Ach,4.153846154,
B1-6,B1-u,5,Ach,,
B1-6,GF,5,Ach,4.153846154,3.323717949
B1-6,WED_pr01-1,5,Ach,,4.180128205
B1-6,WED_pr01-2,5,Ach,,
B1-6,WED_pr02,5,Ach,,
B1-6,aPN2,5,Ach,,
B1-u,B1-3,5,Ach,3.557692308,2.726762821
GF,AVLP/PVLP_pr01-2,5,Inconclusive,,
GF,B1-4,5,Inconclusive,,
GNG_pr01-1,AVLP_pr23,5,GABA,,
GNG_pr01-2,GNG_pr01-1,5,GABA,4.933760684,
GNG_pr01-2,GNG_pr01-2,5,GABA,,4.933760684
GNG_pr01-2,GNG_pr01-2,5,GABA,,
IPS_pr01-2,WED_pr01-2,5,GABA,2.779647436,
PVLP_pr03-2,pC2la,5,GABA,,
PVLP_pr03-3,WED_pr01-1,5,GABA,,
SAD_pr01,A1,5,GABA,,
SAD_pr01,B1-3,5,GABA,2.352564103,
SAD_pr02,AVLP_pr23,5,GABA,,
SAD_pr02,B1-1,5,GABA,,
vpoIN-3,vpoEN,5,GABA,3.921474359,3.688301282
